Hawk Frame ID,SSP Frame ID,Screen count,Name,Publisher,Latitude,Longitude,Estimated address,City,Zipcode,Country,Width,Height,Format name,Environment,Contacts (weekly),Creative type,Video min duration,Video max duration,Certification
viooh:JCDECAUX_GB:1234933237,JCDECAUX_GB:1234933237,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,211178.79076384986,video,,6.0,
viooh:JCDECAUX_GB:1234933236,JCDECAUX_GB:1234933236,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,98341.77859420022,video,,6.0,
viooh:JCDECAUX_GB:1234933234,JCDECAUX_GB:1234933234,,,JCDECAUX_GB,53.407941,-2.978237,"29 Lime St, Liverpool L1 1JD, UK",Liverpool,L1 1JD,United Kingdom,1080,1920,,transit.train_stations,229647.04000290038,video,,6.0,
viooh:JCDECAUX_GB:1234933238,JCDECAUX_GB:1234933238,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,181177.1723164999,video,,6.0,
viooh:JCDECAUX_GB:1234933240,JCDECAUX_GB:1234933240,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,96790.27012094992,video,,6.0,
viooh:JCDECAUX_GB:1234933241,JCDECAUX_GB:1234933241,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,90566.46836775003,video,,6.0,
viooh:JCDECAUX_GB:1234933243,JCDECAUX_GB:1234933243,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,124090.6286431001,video,,6.0,
viooh:JCDECAUX_GB:1234933239,JCDECAUX_GB:1234933239,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,154463.20702785003,video,,6.0,
viooh:JCDECAUX_GB:1234933242,JCDECAUX_GB:1234933242,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,36726.47568614998,video,,6.0,
viooh:JCDECAUX_GB:1234933244,JCDECAUX_GB:1234933244,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,68044.989925875,video,,6.0,
